,Customer,Type,Text,Summary,sim_score,split
0,Notion,Twitter,"If anyone wants to test out the new Arc browser I have FOUR invites codes to giveaway to a few of my followers
To enter the giveaway
 Like  RT
 Follow archwayHQ  CryptoChem0000  Tag one friend to receive invite too
Link   
CryptoChem0000 archwayHQ browsercompany GiveawayInspect Pgm__x I want to try this out buddy DizzleSocial what do you think
73lV_ archwayHQ browsercompany GiveawayInspect Pgm__x DizzleSocial So far Ive been enjoying it Still getting used to it though
CryptoChem0000 archwayHQ browsercompany GiveawayInspect Pgm__x DizzleSocial Nice","User is excited about the new features in the Arc browser, including the ability to create a new tab and pin it to the top of the screen. They are also impressed with the new tab management features, including the ability to create a new tab and pin it to the top of the screen.",0.341742604970932,train
1,figma,Twitter,"A free course by Figma to help you get started in design It includes
Lessons
Exercises
Practice files","A user shared their daily tech stack for their freelance design business, which includes Todoist, Notion, Clockify, SumUp, Typefully, Miro, Figma, Slack, Gmail, and Google Calendar. Another user asked why they chose these apps and shared their own tech stack.",0.2524787783622741,train
2,Notion,Appstore/Playstore,"I thought Id try it because they said it was easy to use
I cant even log in lol lol",User finds the product difficult to use and struggles to log in.,0.6335203647613525,train
3,Notion,Twitter,"post your arcinternet sidebar pins 
abhayance arcinternet Nice
Do spaces persist across profiles within the arc Reading a comment complaining about this stopped me from exploring this browser further",User is frustrated with the lack of updates on the website and mentions that they have been waiting for a new version for a long time.,0.1227872818708419,train
4,Notion,Appstore/Playstore,I love notion with all of my heart because what else am I supposed to use when I have to write a script but it logged me out and I cant go back in so now Im crying I HAD TWO YEARS WORTH OF SCRIPTS IN THERE I HATE THISSS,"User loves Notion but is upset because it logged them out and they can't access their scripts, losing two years of work. They express their frustration.",0.7953266501426697,train
5,Notion,Appstore/Playstore,Hello they say that this application is indispensable but I cant use it because it comes in English please include the Spanish language Greetings Add the Spanish language please,"User requests the addition of Spanish language support for the application, as it is indispensable but only available in English.",0.8559393286705017,train
6,Notion,Twitter,browsercompany Fix Arc browser performance Or make it super easy to learn what makes it so slow I can barely use it anymore now after a few months of getting used to it and getting ready to set it my default browser,User is frustrated with the slow performance of the Arc browser and is considering switching to Chrome or Firefox.,0.8065569996833801,train
7,Notion,Twitter,"Got the much awaited browsercompany Arc invite but sadly no mac to try on Awaiting the windows launch  Or Iam going hackintosh but if things go well mac mini m2 by EOY  
ayushmokal6 browsercompany meko dede vro","User is excited about the new @browsercompany Arc invite and plans to try it on a Mac, but is waiting for the Windows launch.",0.8240014314651489,train
8,Notion,Twitter,"Less than 500 followers and looking for connections Contact me lets engage and support each other on our journey also comment on this tweet with what you do and let everyone know 
carltheauditor Hi Carl
Im a real estate investor coach and mentor based in the UK
Love NotionHQ and use it to run my business I help people use Notion on my Youtube channel and am starting to build Notion templates too
Great to connect"," User is a teacher and uses Notion to create interactive lessons for their students, mentioning that it's a great tool for their students to use.",0.2664065659046173,train
9,figma,G2,"The ability to have a collaborative planning session or discovery session is the main reason I use the miro tool It makes it easy for everyone to visually see the flow of data as well
Miro makes complex discovery planning and process discussions into a simple collaborative tool allowing the full team to see and tell the same story The use cases for Miro are endless whether you are in the Project Product or Engineering space there are templates and activities at your fingertips aimed at collaboration
Sometimes connecting shapes together is buggy and more difficult than it should be I also wish there was a better way to connect Miro into powerpoint or another exported solution","Users find Miro easy to use with helpful features for diagramming and appreciate its diverse templates that support various use cases, including project management and feedback gathering. However, they mention the lack of integration with other services like Notion and the absence of screen reading capabilities for visual accessibility, which prevents their organization from adopting it more widely.",0.6799471378326416,train
10,figma,Twitter,"How to turn an almost perfect UIUX to perfect
Using  as a perfect example created by cnnr_cllhn 
cnnr_cllhn LoseTheVery is a fantastic tool that finds a more concise adjective without using very Example very rich  affluent
The core idea is simple and the UI was chosen to reflect that Its straight to the point just like the Google Search homepage So whats the problem 
cnnr_cllhn  There are 3 main flaws
1 Site feels messy
2 Design lacks consistency
3 Elements feel a little too cramped
Well approach it via negativa style by removing stuff rather than adding
 Lets work on that that using figma
cnnr_cllhn figma 1 Decluttering 
The most important step would be to remove the clutter  the annoying newsletter popup the newsletter section and the newsletter banner Well get back to it later
This has already made a difference The interface looks significantly cleaner 
cnnr_cllhn figma 2 Let the design breathe 
Lets add more whitespace  the more the better This will achieve a better visual separation
Now the very  x  y line instantly grabs our attention 
cnnr_cllhn figma 3 Making buttons prettier 
Buttons look chaotic here randomly spaced different padding etc
Lets increase the font size adjust the padding and replace the word random with a dice icon Well also invert the third button
The buttons now look modern and consistent","User expresses optimism about AI's potential to enhance work, life, and creativity, and looks forward to a conversation at Figma's Config event. Another user requests a donation of 2 Bitcoin for a virtual collection.",0.1105358228087425,train
11,Notion,Twitter,"Got the much awaited browsercompany Arc invite but sadly no mac to try on Awaiting the windows launch  Or Iam going hackintosh but if things go well mac mini m2 by EOY  
ayushmokal6 browsercompany meko dede vro","User is excited about the new @browsercompany Arc invite and plans to try it on a Mac, but is waiting for the Windows launch.",0.8240014314651489,train
12,Notion,Twitter,Any want an invite to the browsercompany new browser Arc Have 5 here if anyone was interested to use it," User is excited about the new browser CO, and is offering 5 invites for anyone interested in using it.",0.7242472171783447,train
13,Notion,Twitter,"Ive been contemplating becoming a Notion Creator for a while Now Im taking the first step Excited to say hello to the NotionHQ community and make some new friends  I have a lot to be shared with you all  
CreatorBaraa NotionHQ Good to know Baraa
Welcome to Twitter world Just stay consistent and dont give up",User is excited to join the Notion Creator community and is looking forward to connecting with others.,0.7335863709449768,train
14,figma,Twitter,"I am optimistic in AIs ability to amplify how we work live and create Looking forward to the conversation at Figmas Config
 
reidhoffman figma You look like the Epstein Island type Karma comes like a thief in the night
Shark35Zulu reidhoffman figma This info has to be spread widely in all corners of the internetnot stopped until E Jean Carroll is sued into financial oblivion by REAL PDJTCarroll told Vanity Fair she sexually harassed Roger Ailesthe CEO of Fox NewsVanity Fair paints Jean as a complete lunatic who cont
Shark35Zulu reidhoffman figma calls her residencethe Mouse Housesurrounded by trees with trunks shes painted blueShe has a cat named Vaginaa poodle she dyed blueCarroll claims 3 men attempted 2 throw her 2 the groundmolest her before she turned 15She says a man in AR in a truck asks her cont
Shark35Zulu reidhoffman figma if she is f cking her dogTalking to Anderson Cooper Eshe gave herself that name said people associate the word rape with sexinessEven CNN cut her off in that interviewI said I think most people think of rape as being sexyCarroll What about the her claims of cont
E"," User is optimistic about AI's potential to enhance work, life, and creativity, and is excited for the conversation at Figma's Config. They mention a tool called Locofy AI that can automatically convert Figma designs into front-end code.",0.1367188990116119,train
15,Notion,Twitter,"Obsidian is my favorite markdown editor but did you know it can do SO MUCH MORE Im gonna show you 7 incredible community plugins amp how Im using them
Still using other productivity tools Give Obsidian a try It will change the way how you work 

ChristianLempa I really like Obsidian but NotionHQ has some nice build in features like AI writing etc IT highliy depends on what you so with your Note taking tool For example I use Notion for study and obsidian for documentation","User is excited about the new features in Notion, including the ability to create a new note from a URL, and is looking forward to trying it out.",0.4960976243019104,train
